		NASS Code		Facility Name		Facility Type		District		BMEU		Dropsite Key		Address		City		State		ZIP Code		Drop Ship Coordinator Contact Info				Active in FAST
													Name		Phone		E-Mail		After Hours Number

			 	AIRPORT	 	Delivery Unit	 	006-Caribbean	 	No	 	SV18864	 	3000 AVE SALVADOR V CARO STE 3032	 	CAROLINA	 	PR	 	009796607	 	FAST HelpDesk	 	1-877-569-6614	 	fast@usps.com	 	1-877-569-6614 Option #3	 	No

			 	ATOCHA	 	Delivery Unit	 	006-Caribbean	 		 	SV17146	 	93 CALLE ATOCHA	 	PONCE	 	PR	 	007309997	 	FAST HelpDesk	 	1-877-569-6614	 	fast@usps.com	 	1-877-569-6614 Option #3	 	No

			 	CAPARRA HEIGHTS	 	Delivery Unit	 	006-Caribbean	 		 	BV17161	 	1505 AVE FD ROOSEVELT STE 100	 	GUAYNABO	 	PR	 	009689998	 	FAST HelpDesk	 	1-877-569-6614	 	fast@usps.com	 	1-877-569-6614 Option #3	 	No

			 	FORT BUCHANAN	 	Delivery Unit	 	006-Caribbean	 		 	BV17189	 	1505 AVE FD ROOSEVELT STE 100	 	GUAYNABO	 	PR	 	009689998	 	FAST HelpDesk	 	1-877-569-6614	 	fast@usps.com	 	1-877-569-6614 Option #3	 	No

			 	FT BUCHANAN	 	Delivery Unit	 	006-Caribbean	 	No	 		 	1505 AVE FD ROOSEVELT STE 4	 	GUAYNABO	 	PR	 	009689998	 	FAST HelpDesk	 	1-877-569-6614	 	fast@usps.com	 	1-877-569-6614 Option #3	 	No

			 	KINGSHILL AMF	 	Plant	 	006-Caribbean	 		 	A006248	 	1000 AIRPORT RD	 	KINGSHILL	 	VI	 	008509997	 	FAST HelpDesk	 	1-877-569-6614	 	fast@usps.com	 	1-877-569-6614 Option #3	 	Pending
